talk about routing::talk about routing
rrouting and wavelength::rrouting and wavelength
wavelength assignment means::wavelength assignment means
stream of packets::stream of packets
destination now tthese::destination now tthese
sources and destination::sources and destination
point to point::point to point
directly connected general::directly connected general
connected general tthey::connected general tthey
notes to reach::notes to reach
reach the destination::reach the destination
llet us assume::llet us assume
assign one wave::assign one wave
problem of routing::problem of routing
series of lectures::series of lectures
lectures but routing::lectures but routing
kinds of routing::kinds of routing
problem here sso::problem here sso
routing and wave::routing and wave
wave length assignment::wave length assignment
light path establishment::light path establishment
iin the first::iin the first
suppose this dashed::suppose this dashed
lambda one lambda::lambda one lambda
sso the lambed::sso the lambed
switched to lambda::switched to lambda
lambda one lamda::lambda one lamda
wwe have light::wwe have light
light a paths::light a paths
fibers the lambda::fibers the lambda
lambda ones lamda::lambda ones lamda
inorder to connect::inorder to connect
lambda two lamda::lambda two lamda
connects me higher::connects me higher
connect will connect::connect will connect
fiber so wwe::fiber so wwe
long and variable::long and variable
variable length payload::variable length payload
long low amortized::long low amortized
low amortized overhead::low amortized overhead
overhead no fragmentation::overhead no fragmentation
fragmentation aa control::fragmentation aa control
out of band::out of band
band that means::band that means
lambda lambda lamda::lambda lambda lamda
lambda lamda control::lambda lamda control
control and reserves::control and reserves
lambda lamda data::lambda lamda data
lamda data reserves::lamda data reserves
path and configures::path and configures
configures the switches::configures the switches
setting up temporary::setting up temporary
temporary light path::temporary light path
sso no buffering::sso no buffering
buffering is needed::buffering is needed
optical buffer sso::optical buffer sso
buffer sso buffers::buffer sso buffers
simply simply passes::simply simply passes
optical domain sso::optical domain sso
nice so offset::nice so offset
delta ? amount::delta ? amount
optical switch fabric::optical switch fabric
offset is exhausted::offset is exhausted
computer networks::computer networks
sujoy ghosh::sujoy ghosh
ghosh department::ghosh department
computer science::computer science
engineering iit::engineering iit
kharagpur lecture::kharagpur lecture
good day::good day
optic communication::optic communication
heard tthis::heard tthis
tthis lecture::tthis lecture
optic components::optic components
layer components::layer components
optic systems::optic systems
wdm systems::wdm systems
wavelength division::wavelength division
division multiplexing::division multiplexing
optic domain::optic domain
fifty percent::fifty percent
fiber optics::fiber optics
components today::components today
optic component::optic component
basic fiber::basic fiber
light sources::light sources
optical fiber::optical fiber
transparent silica::transparent silica
silica glass::silica glass
moderate dimension::moderate dimension
total internal::total internal
internal reflection::internal reflection
ordinary light::ordinary light
multimode fiber::multimode fiber
mmf mmf::mmf mmf
lans lans::lans lans
low speeds::low speeds
short distances::short distances
cheaper variety::cheaper variety
lan lans::lan lans
low speed::low speed
speed wwhen::speed wwhen
hundred mbps::hundred mbps
smaller dimension::smaller dimension
physical layer::physical layer
cross section::cross section
thin strand::thin strand
glass fiber::glass fiber
fiber tthis::fiber tthis
actual part::actual part
outer protection::outer protection
nanometer range::nanometer range
wave guide::wave guide
single mode::single mode
eelectro mmagnetics::eelectro mmagnetics
guide propagation::guide propagation
mode fiber::mode fiber
fiber smf::fiber smf
higher speed::higher speed
longer distance::longer distance
mode fibers::mode fibers
transmission windows::transmission windows
fifty nanometer::fifty nanometer
haul applications::haul applications
wider window::wider window
good optical::good optical
optical amplifiers::optical amplifiers
fifty nanometer1550::fifty nanometer1550
low attenuation::low attenuation
ssimilarly,thirteen ten::ssimilarly,thirteen ten
actual practice::actual practice
main thing::main thing
previous diagram::previous diagram
loses energy::loses energy
lower magnitude::lower magnitude
lower strength::lower strength
light signal::light signal
longer distances::longer distances
rayleigh scattering::rayleigh scattering
refractive index::refractive index
mie scattering::mie scattering
cylindrical structure::cylindrical structure
rigorous specification::rigorous specification
engineering world::engineering world
signal strength::signal strength
digital waveform::digital waveform
square waveform::square waveform
spectral component::spectral component
fuller transformation::fuller transformation
wave shape::wave shape
perfect square::perfect square
square shape::square shape
specific strengths::specific strengths
strengths compared::strengths compared
differential losses::differential losses
pulse shape::pulse shape
chromatic dispersion::chromatic dispersion
spectral components::spectral components
pulse travel::pulse travel
group velocity::group velocity
velocity dispersion::velocity dispersion
chromatic pulse::chromatic pulse
input pulse::input pulse
output pulse::output pulse
flattened shape::flattened shape
special types::special types
reduced dispersion::reduced dispersion
dispersion fiber::dispersion fiber
dispersion shifted::dispersion shifted
shifted fibers::shifted fibers
natural dispersion::natural dispersion
nonzero dispersion::nonzero dispersion
normal smf::normal smf
deployed plant::deployed plant
plant dispersion::plant dispersion
nanometer kilometer::nanometer kilometer
interesting areas::interesting areas
special fiber::special fiber
long haul::long haul
short haul::short haul
shifted characteristics::shifted characteristics
ordinary fiber::ordinary fiber
