channels can travel::channels can travel
bytes that means::bytes that means
slot or frame::slot or frame
ds0 or voice::ds0 or voice
types of overheads::types of overheads
octets are understood::octets are understood
understood in terms::understood in terms
shown in yellow::shown in yellow
bit of overhead::bit of overhead
columns contain transport::columns contain transport
overhead and toh::overhead and toh
subdivided into section::subdivided into section
section overhead soh::section overhead soh
columns ; loh::columns ; loh
overhead ? remember::overhead ? remember
concepts like section::concepts like section
talked about path::talked about path
things as line::things as line
section are concerned::section are concerned
kind of things::kind of things
things ; line::things ; line
similarly path overhead::similarly path overhead
separately ; first::separately ; first
first section overhead::first section overhead
defines and identifies::defines and identifies
frames and monitors::frames and monitors
monitors section errors::monitors section errors
errors and communication::errors and communication
communication between section::communication between section
section terminating equipment::section terminating equipment
frames ; monitors::frames ; monitors
repeater and multiplexer::repeater and multiplexer
line overhead locates::line overhead locates
overhead locates first::overhead locates first
locates first octet::locates first octet
octet of spe::octet of spe
spe and monitors::spe and monitors
monitors line errors::monitors line errors
communication between terminating::communication between terminating
previously we talking::previously we talking
talking about section::talking about section
inside the envelope::inside the envelope
path overhead verifies::path overhead verifies
overhead verifies connection::overhead verifies connection
verifies connection path::verifies connection path
remember path means::remember path means
means from end::means from end
monitors path errors::monitors path errors
receivers ? status::receivers ? status
communication between path::communication between path
path termination equipment::path termination equipment
synchronous payload envelope::synchronous payload envelope
envelope or spe::envelope or spe
hold the spe::hold the spe
divided into path::divided into path
overhead and payload::overhead and payload
means the path::means the path
overheads have separate::overheads have separate
bytes or separate::bytes or separate
two very important::two very important
sonet the point::sonet the point
data may start::data may start
start getting transmitted::start getting transmitted
arbitrary points inside::arbitrary points inside
kind of mismatches::kind of mismatches
mismatches of late::mismatches of late
absorb this kind::absorb this kind
kind of variation::kind of variation
flexibility to sonet::flexibility to sonet
spe may start::spe may start
spe in light::spe in light
light green color::light green color
overlaps multiple frames::overlaps multiple frames
frames ; avoids::frames ; avoids
avoids buffer management::avoids buffer management
buffer management complexity::buffer management complexity
complexity and artificial::complexity and artificial
put that pointer::put that pointer
edge will point::edge will point
access to byte::access to byte
byte synchronous lower::byte synchronous lower
synchronous lower level::synchronous lower level
lower level signals::lower level signals
frame recovery procedure::frame recovery procedure
loh ; loh::loh ; loh
loh means line::loh means line
means line overhead::means line overhead
path overhead path::path overhead path
overhead path overhead::overhead path overhead
path overhead beginning::path overhead beginning
overhead beginning floats::overhead beginning floats
column may span::column may span
originated and terminated::originated and terminated
features of path::features of path
overhead the point::overhead the point
remember the path::remember the path
path is end::path is end
user may start::user may start
stream is flowing::stream is flowing
upload and travel::upload and travel
signals which originated::signals which originated
multiplexer can handle::multiplexer can handle
add drop multiplexers::add drop multiplexers
multiplexers this stream::multiplexers this stream
master clock accuracy::master clock accuracy
accurate it shows::accurate it shows
kind of ccm::kind of ccm
protocol for distributing::protocol for distributing
distributing and maintaining::distributing and maintaining
maintaining this clock::maintaining this clock
entire network frames::entire network frames
