maintain the consistency::maintain the consistency
develop these systems::develop these systems
systems and make::systems and make
day to day::day to day
covered in depth::covered in depth
design of databases::design of databases
databases using model::databases using model
today are based::today are based
database are tables::database are tables
modeling for databases::modeling for databases
order to answer::order to answer
answer that question::answer that question
typical database design::typical database design
database design process::database design process
captures the gist::captures the gist
talk about databases::talk about databases
remember that databases::remember that databases
database is embedded::database is embedded
embedded so databases::embedded so databases
embedded within railway::embedded within railway
railway reservation solution::railway reservation solution
information system context::information system context
universe of discourse::universe of discourse
discourse the universe::discourse the universe
discourse basically tells::discourse basically tells
blocks that make::blocks that make
talk about designing::talk about designing
designing a database::designing a database
uod and collecting::uod and collecting
make an analysis::make an analysis
conduct its operations::conduct its operations
kinds of operations::kinds of operations
identifies a correct::identifies a correct
kinds of requirements::kinds of requirements
requirements the first::requirements the first
imagined that database::imagined that database
requirements are handled::requirements are handled
handled by dbms::handled by dbms
solution to give::solution to give
build a car::build a car
build a bus::build a bus
larger information system::larger information system
high-level conceptual design::high-level conceptual design
understandable by human::understandable by human
understand the problems::understand the problems
computer so database::computer so database
taking up today::taking up today
requirements so functional::requirements so functional
functions ? opening::functions ? opening
opening an account::opening an account
function or making::function or making
making a bank::making a bank
constraints that holdup::constraints that holdup
holdup these functions::holdup these functions
analyses are made::analyses are made
high-level transaction specifications::high-level transaction specifications
specifications in fact::specifications in fact
revisiting this topic::revisiting this topic
topic called transactions::topic called transactions
club different operations::club different operations
transaction now transactions::transaction now transactions
dbms independent process::dbms independent process
meant by dbms::meant by dbms
means that doesn::means that doesn
mysql or postgres::mysql or postgres
understand your uod::understand your uod
dbms dependent processes::dbms dependent processes
two different streams::two different streams
schema in turn::schema in turn
design actually tells::design actually tells
data itself resides::data itself resides
dbms dependent process::dbms dependent process
standards that exists::standards that exists
stores its data::stores its data
physical design results::physical design results
similarly the high-level::similarly the high-level
high-level transactions specifications::high-level transactions specifications
impact the physical::impact the physical
suppose certain kinds::suppose certain kinds
kinds of operation::kinds of operation
sense to design::sense to design
slightly lose fashion::slightly lose fashion
easier to handle::easier to handle
high-level transaction specs::high-level transaction specs
specs in order::specs in order
order to make::order to make
make your physical::make your physical
similarly the application::similarly the application
application program design::application program design
design and transaction::design and transaction
finally the application::finally the application
important for database::important for database
understand our uod::understand our uod
discourse it tells::discourse it tells
kinds of data::kinds of data
handle and based::handle and based
requirements do users::requirements do users
building banking solution::building banking solution
customers or account::customers or account
kinds of logs::kinds of logs
logs and ledgers::logs and ledgers
ledgers and account::ledgers and account
represent some kinds::represent some kinds
design would identify::design would identify
includes the description::includes the description
entities that makeup::entities that makeup
makeup the uod::makeup the uod
bank the customer::bank the customer
railway reservation system::railway reservation system
kinds of entity::kinds of entity
types so customer::types so customer
holds an account::holds an account
account in order::account in order
make a term::make a term
imposed by physics::imposed by physics
modeling a railway::modeling a railway
two trains starting::two trains starting
kinds of constraints::kinds of constraints
constraints that exist::constraints that exist
exist among data::exist among data
thing to note::thing to note
details here note::details here note
schema is ease::schema is ease
ease of understanding::ease of understanding
understand your understanding::understand your understanding
communication with end::communication with end
things we identify::things we identify
company has departments::company has departments
speaking to employees::speaking to employees
project may span::project may span
span different departments::span different departments
two different kinds::two different kinds
kinds of things::kinds of things
things like departments::things like departments
colon like departments::colon like departments
projects are entity::projects are entity
entities say department::entities say department
manager or location::manager or location
entity that means::entity that means
means they belong::means they belong
occurring after department::occurring after department
department here belongs::department here belongs
department id belongs::department id belongs
similarly the project::similarly the project
project id belongs::project id belongs
belongs to project::belongs to project
project and address::project and address
belongs to employee::belongs to employee
date of birth::date of birth
