networks prof .sujoy::networks prof .sujoy
analog phone system::analog phone system
understand why modems::understand why modems
modems are required::modems are required
system the field::system the field
field of communication::field of communication
details of communications::details of communications
basics of communications::basics of communications
remember computer network::remember computer network
nodes are connected::nodes are connected
lines so communication::lines so communication
talked about this.in::talked about this.in
deployed in common::deployed in common
ways the digital::ways the digital
signals and analog::signals and analog
communication how digital::communication how digital
data or analog::data or analog
impairments of physical::impairments of physical
basically two types::basically two types
types of mediawhich::types of mediawhich
two different classes::two different classes
cable or twisted::cable or twisted
pair or shielded::pair or shielded
shielded twisted pair::shielded twisted pair
unshielded twisted pair::unshielded twisted pair
pair or utp::pair or utp
shielded twisted pairs::shielded twisted pairs
cables these days::cables these days
types of cables::types of cables
cables by simple::cables by simple
simple electromagnetic radiation::simple electromagnetic radiation
infrared or microwave::infrared or microwave
microwave or radio::microwave or radio
radio or satellite::radio or satellite
kind of media::kind of media
network could vary::network could vary
means of size::means of size
means two computer::means two computer
two computer connected::two computer connected
computer connected siding::computer connected siding
table connected side::table connected side
side by side::side by side
kind of range::kind of range
talk about find::talk about find
local area networks::local area networks
utp or unshielded::utp or unshielded
unshielded twisted pairs::unshielded twisted pairs
varieties or categories::varieties or categories
cat3 cable cat::cat3 cable cat
cable cat 5cable::cable cat 5cable
cat 5e cable::cat 5e cable
connected by unshielded::connected by unshielded
twisted pair cables::twisted pair cables
cables of categories::cables of categories
cat three cables::cat three cables
cat five onwards::cat five onwards
onwards the kind::onwards the kind
kind of things::kind of things
local telephone exchange::local telephone exchange
ports etc ethernet::ports etc ethernet
fddi ring kind::fddi ring kind
kind of structure::kind of structure
networks even smaller::networks even smaller
smaller than lan::smaller than lan
personal area networks::personal area networks
networks some networks::networks some networks
spectrum that means::spectrum that means
means from lan::means from lan
metropolitan area network::metropolitan area network
typically one campus::typically one campus
man by ballpark::man by ballpark
ballpark figure man::ballpark figure man
kind of medium::kind of medium
metropolitan area networks::metropolitan area networks
area networks coaxial::area networks coaxial
networks coaxial cables::networks coaxial cables
cables both base::cables both base
band and broadband::band and broadband
connecting although utp::connecting although utp
network to telephone::network to telephone
telephone linesi told::telephone linesi told
kind of system::kind of system
coaxial some part::coaxial some part
fiber fiber means::fiber fiber means
fiber optic cables::fiber optic cables
cables and kind::cables and kind
kind of technology::kind of technology
pbx different kinds::pbx different kinds
kinds of modems::kinds of modems
